Fire Incident Alarm DateTime,Fire Incident Apparatus Dispatch Time,Fire Incident Apparatus Enroute Time,Fire Incident Arrival DateTime,Fire Incident Apparatus Clear Time,Fire Incident Incident Type
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:55:44,01/01/2016 09:00:24,01/01/2016 09:02:09,"Smoke detector activation, no fi"
01/01/2016 08:54:08,01/01/2016 08:59:39,01/01/2016 08:59:40,01/01/2016 09:00:24,01/01/2016 09:02:09,"Smoke detector activation, no fi"
01/01/2016 08:54:08,01/01/2016 08:55:12,01/01/2016 08:57:16,01/01/2016 09:00:24,01/01/2016 08:57:47,"Smoke detector activation, no fi"
01/01/2016 09:50:02,01/01/2016 09:51:31,01/01/2016 09:52:09,01/01/2016 09:55:11,01/01/2016 10:05:36,"Medical assist, assist EMS crew"
01/01/2016 11:48:55,01/01/2016 11:50:50,01/01/2016 11:51:20,01/01/2016 11:51:20,01/01/2016 12:08:23,"EMS call, excluding vehicle acci"
01/01/2016 12:09:46,01/01/2016 12:14:30,01/01/2016 12:15:06,01/01/2016 12:15:06,01/01/2016 12:32:11,"EMS call, excluding vehicle acci"
01/01/2016 12:35:38,01/01/2016 12:39:39,01/01/2016 12:40:12,,01/01/2016 12:41:11,Emergency Medical cancelled en r
01/01/2016 13:28:54,01/01/2016 13:30:02,01/01/2016 13:30:51,,01/01/2016 13:33:45,Emergency Medical cancelled en r
01/01/2016 14:06:42,01/01/2016 14:07:14,01/01/2016 14:08:00,01/01/2016 14:09:14,01/01/2016 14:15:43,"EMS call, excluding vehicle acci"
01/01/2016 14:25:27,01/01/2016 14:27:45,01/01/2016 14:28:26,,01/01/2016 14:30:40,Emergency Medical cancelled en r
01/01/2016 14:29:57,01/01/2016 14:32:23,01/01/2016 14:33:00,01/01/2016 14:37:24,01/01/2016 14:41:35,"Medical assist, assist EMS crew"
01/01/2016 14:36:16,01/01/2016 14:36:46,01/01/2016 14:37:36,01/01/2016 14:41:51,01/01/2016 14:48:37,"EMS call, excluding vehicle acci"
01/01/2016 14:53:01,01/01/2016 14:54:14,01/01/2016 14:55:00,01/01/2016 14:58:36,01/01/2016 15:02:47,"Medical assist, assist EMS crew"
01/01/2016 15:15:43,01/01/2016 15:17:14,01/01/2016 15:17:33,01/01/2016 15:22:37,01/01/2016 15:31:18,"Medical assist, assist EMS crew"
01/01/2016 16:15:53,01/01/2016 16:17:13,01/01/2016 16:17:57,01/01/2016 16:22:10,01/01/2016 16:25:39,EMS Cancelled on Arrival
01/01/2016 16:24:43,01/01/2016 16:25:39,01/01/2016 16:26:25,01/01/2016 16:28:49,01/01/2016 16:41:28,"Medical assist, assist EMS crew"
01/01/2016 16:24:52,01/01/2016 16:26:15,01/01/2016 16:26:32,01/01/2016 16:29:56,01/01/2016 16:43:10,"EMS call, excluding vehicle acci"
01/01/2016 16:51:11,01/01/2016 16:52:09,01/01/2016 16:52:44,01/01/2016 16:55:42,01/01/2016 17:29:34,"EMS call, excluding vehicle acci"
01/01/2016 17:12:33,01/01/2016 17:28:51,01/01/2016 17:31:03,01/01/2016 17:24:10,01/01/2016 17:59:22,Carbon monoxide incident
01/01/2016 17:12:33,01/01/2016 17:13:14,01/01/2016 17:14:07,01/01/2016 17:24:10,01/01/2016 18:16:46,Carbon monoxide incident
01/01/2016 18:30:45,01/01/2016 18:32:16,01/01/2016 18:33:06,01/01/2016 18:37:01,01/01/2016 18:38:37,EMS Cancelled on Arrival
01/01/2016 19:16:45,01/01/2016 19:17:36,01/01/2016 19:18:04,01/01/2016 19:21:31,01/01/2016 19:22:35,EMS Cancelled on Arrival
01/01/2016 19:22:26,01/01/2016 19:25:44,01/01/2016 19:26:34,01/01/2016 19:31:11,01/01/2016 19:49:25,"Medical assist, assist EMS crew"
01/01/2016 19:24:18,01/01/2016 19:26:28,01/01/2016 19:27:09,01/01/2016 19:31:39,01/01/2016 20:01:46,"EMS call, excluding vehicle acci"
01/01/2016 19:41:23,01/01/2016 19:42:30,01/01/2016 19:42:57,01/01/2016 19:46:39,01/01/2016 19:55:12,"EMS call, excluding vehicle acci"
01/01/2016 20:14:54,01/01/2016 20:16:36,01/01/2016 20:17:25,01/01/2016 20:20:04,01/01/2016 20:20:43,EMS Cancelled on Arrival
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:34:14,01/01/2016 20:37:02,01/01/2016 20:41:21,"Smoke detector activation, no fi"
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:32:45,01/01/2016 20:37:02,01/01/2016 20:39:10,"Smoke detector activation, no fi"
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:32:54,01/01/2016 20:37:02,01/01/2016 20:39:30,"Smoke detector activation, no fi"
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:32:49,01/01/2016 20:37:02,01/01/2016 20:39:33,"Smoke detector activation, no fi"
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:33:32,01/01/2016 20:37:02,01/01/2016 20:39:15,"Smoke detector activation, no fi"
01/01/2016 20:31:37,01/01/2016 20:32:08,01/01/2016 20:32:54,01/01/2016 20:37:02,01/01/2016 20:42:29,"Smoke detector activation, no fi"
01/01/2016 20:58:30,01/01/2016 20:59:05,01/01/2016 20:59:21,01/01/2016 21:03:34,01/01/2016 22:12:20,Carbon monoxide incident
01/01/2016 21:41:48,01/01/2016 21:44:53,01/01/2016 21:45:32,01/01/2016 21:48:50,01/01/2016 21:57:05,"Medical assist, assist EMS crew"
01/01/2016 21:48:29,01/01/2016 21:53:43,01/01/2016 21:54:21,01/01/2016 21:58:33,01/01/2016 22:04:41,"Medical assist, assist EMS crew"
01/01/2016 22:54:19,01/01/2016 22:54:40,01/01/2016 22:55:18,01/01/2016 22:59:32,01/01/2016 23:04:14,"Medical assist, assist EMS crew"
01/01/2016 23:19:25,01/01/2016 23:22:39,01/01/2016 23:23:24,01/01/2016 23:28:23,01/01/2016 23:28:50,EMS Cancelled on Arrival
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:02:24,01/02/2016 00:05:48,01/02/2016 00:11:51,"Excessive heat, scorch burns wit"
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:02:09,01/02/2016 00:05:48,01/02/2016 00:09:55,"Excessive heat, scorch burns wit"
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:02:10,01/02/2016 00:05:48,01/02/2016 00:09:50,"Excessive heat, scorch burns wit"
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:01:52,01/02/2016 00:05:48,01/02/2016 00:09:47,"Excessive heat, scorch burns wit"
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:02:09,01/02/2016 00:05:48,01/02/2016 00:36:19,"Excessive heat, scorch burns wit"
01/01/2016 23:59:42,01/02/2016 00:00:55,01/02/2016 00:02:00,01/02/2016 00:05:48,01/02/2016 00:10:07,"Excessive heat, scorch burns wit"
01/02/2016 01:09:05,01/02/2016 01:09:22,01/02/2016 01:10:22,01/02/2016 01:13:31,01/02/2016 04:32:30,Passenger vehicle fire
01/02/2016 02:30:53,01/02/2016 02:32:13,01/02/2016 02:33:13,01/02/2016 02:36:28,01/02/2016 02:41:11,"Medical assist, assist EMS crew"
01/02/2016 06:41:46,01/02/2016 06:42:37,01/02/2016 06:43:40,01/02/2016 06:46:27,01/02/2016 06:54:51,Assist invalid
01/02/2016 07:35:15,01/02/2016 07:36:56,01/02/2016 07:37:35,01/02/2016 07:41:02,01/02/2016 07:44:36,EMS Cancelled on Arrival
01/02/2016 07:37:06,01/02/2016 07:38:46,01/02/2016 07:39:35,01/02/2016 07:43:43,01/02/2016 07:53:57,CO detector activation due to ma
01/02/2016 09:40:32,01/02/2016 09:41:32,01/02/2016 09:42:09,01/02/2016 09:48:16,01/02/2016 10:01:12,"Medical assist, assist EMS crew"
01/02/2016 10:20:32,01/02/2016 10:21:35,01/02/2016 10:22:53,01/02/2016 10:28:37,01/02/2016 10:38:53,CO detector activation due to ma
01/02/2016 11:29:45,01/02/2016 11:30:26,01/02/2016 11:31:07,01/02/2016 11:33:10,01/02/2016 11:41:11,"EMS call, excluding vehicle acci"
01/02/2016 12:52:48,01/02/2016 12:57:42,01/02/2016 12:58:30,01/02/2016 13:02:27,01/02/2016 13:07:27,"EMS call, excluding vehicle acci"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:37,01/02/2016 13:25:12,01/02/2016 13:27:20,"Alarm system activation, no fire"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:30,01/02/2016 13:25:12,01/02/2016 13:29:06,"Alarm system activation, no fire"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:38,01/02/2016 13:25:12,01/02/2016 13:34:21,"Alarm system activation, no fire"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:05,01/02/2016 13:25:12,01/02/2016 13:27:05,"Alarm system activation, no fire"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:42,01/02/2016 13:25:12,01/02/2016 13:27:22,"Alarm system activation, no fire"
01/02/2016 13:19:39,01/02/2016 13:20:25,01/02/2016 13:21:19,01/02/2016 13:25:12,01/02/2016 13:27:10,"Alarm system activation, no fire"
01/02/2016 14:07:13,01/02/2016 14:09:20,01/02/2016 14:10:04,01/02/2016 14:15:12,01/02/2016 14:24:33,"Accident, potential accident, ot"
01/02/2016 14:16:01,01/02/2016 14:19:14,,01/02/2016 14:23:05,01/02/2016 14:26:41,Electrical  wiring/equipment pro
01/02/2016 14:16:01,01/02/2016 14:19:14,01/02/2016 14:20:11,01/02/2016 14:23:05,01/02/2016 14:26:41,Electrical  wiring/equipment pro
01/02/2016 14:16:01,01/02/2016 14:19:14,01/02/2016 14:20:04,01/02/2016 14:23:05,01/02/2016 14:26:52,Electrical  wiring/equipment pro
01/02/2016 14:16:01,01/02/2016 14:19:14,01/02/2016 14:19:50,01/02/2016 14:23:05,01/02/2016 14:41:34,Electrical  wiring/equipment pro
01/02/2016 14:16:01,01/02/2016 14:19:14,01/02/2016 14:20:17,01/02/2016 14:23:05,01/02/2016 14:26:38,Electrical  wiring/equipment pro
01/02/2016 14:16:01,01/02/2016 14:19:14,01/02/2016 14:20:13,01/02/2016 14:23:05,01/02/2016 14:26:39,Electrical  wiring/equipment pro
01/02/2016 14:30:56,01/02/2016 14:31:50,01/02/2016 14:32:31,,01/02/2016 14:34:40,Dispatched & canceled en route
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:18,01/02/2016 15:23:18,01/02/2016 15:26:44,"Smoke detector activation, no fi"
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:33,01/02/2016 15:23:18,01/02/2016 15:26:39,"Smoke detector activation, no fi"
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:01,01/02/2016 15:23:18,01/02/2016 15:26:41,"Smoke detector activation, no fi"
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:54,01/02/2016 15:23:18,01/02/2016 15:26:37,"Smoke detector activation, no fi"
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:31,01/02/2016 15:23:18,01/02/2016 15:26:40,"Smoke detector activation, no fi"
01/02/2016 15:19:16,01/02/2016 15:20:23,01/02/2016 15:21:23,01/02/2016 15:23:18,01/02/2016 15:38:28,"Smoke detector activation, no fi"
01/02/2016 16:00:26,01/02/2016 16:01:19,01/02/2016 16:02:26,,01/02/2016 16:02:44,Emergency Medical cancelled en r
01/02/2016 16:23:56,01/02/2016 16:25:30,01/02/2016 16:26:27,01/02/2016 16:28:56,01/02/2016 16:30:50,Motor vehicle accident with inju
01/02/2016 16:23:56,01/02/2016 16:25:30,01/02/2016 16:26:27,01/02/2016 16:28:56,01/02/2016 16:30:52,Motor vehicle accident with inju
01/02/2016 16:23:56,01/02/2016 16:25:30,01/02/2016 16:26:25,01/02/2016 16:28:56,01/02/2016 16:31:01,Motor vehicle accident with inju
01/02/2016 16:23:56,01/02/2016 16:25:30,01/02/2016 16:26:21,01/02/2016 16:28:56,01/02/2016 16:49:52,Motor vehicle accident with inju
01/02/2016 16:28:32,01/02/2016 16:29:53,01/02/2016 16:30:42,01/02/2016 16:35:43,01/02/2016 16:43:44,"EMS call, excluding vehicle acci"
01/02/2016 17:00:55,01/02/2016 17:03:09,01/02/2016 17:04:17,,01/02/2016 17:04:34,Emergency Medical cancelled en r
01/02/2016 19:25:23,01/02/2016 19:26:54,01/02/2016 19:27:43,,01/02/2016 19:29:26,Dispatched & canceled en route
01/02/2016 21:48:40,01/02/2016 21:52:15,01/02/2016 21:53:20,01/02/2016 21:56:23,01/02/2016 21:57:14,EMS Cancelled on Arrival
01/02/2016 21:53:16,01/02/2016 21:55:23,01/02/2016 21:56:01,01/02/2016 21:59:01,01/02/2016 22:23:50,"EMS call, excluding vehicle acci"
01/02/2016 22:25:17,01/02/2016 22:26:19,01/02/2016 22:27:21,01/02/2016 22:28:54,01/02/2016 22:32:15,EMS Cancelled on Arrival
01/02/2016 23:34:27,01/02/2016 23:35:14,01/02/2016 23:39:34,01/02/2016 23:40:14,01/02/2016 23:46:48,"EMS call, excluding vehicle acci"
01/02/2016 23:40:40,01/02/2016 23:41:53,01/02/2016 23:43:01,,01/02/2016 23:43:54,Emergency Medical cancelled en r
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:14:07,01/03/2016 00:15:30,01/03/2016 00:32:27,"Smoke scare, odor of smoke"
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:13:54,01/03/2016 00:15:30,01/03/2016 00:29:19,"Smoke scare, odor of smoke"
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:14:01,01/03/2016 00:15:30,01/03/2016 00:29:21,"Smoke scare, odor of smoke"
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:14:20,01/03/2016 00:15:30,01/03/2016 00:29:21,"Smoke scare, odor of smoke"
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:13:58,01/03/2016 00:15:30,01/03/2016 00:29:21,"Smoke scare, odor of smoke"
01/03/2016 00:11:31,01/03/2016 00:12:26,01/03/2016 00:13:42,01/03/2016 00:15:30,01/03/2016 00:31:13,"Smoke scare, odor of smoke"
01/03/2016 02:06:07,01/03/2016 02:07:17,01/03/2016 02:09:22,01/03/2016 02:12:00,01/03/2016 02:50:07,Removal of victim(s) from stalle
01/03/2016 02:08:08,01/03/2016 02:09:12,01/03/2016 02:11:40,01/03/2016 02:14:15,01/03/2016 03:31:52,Building fire
01/03/2016 02:08:08,01/03/2016 02:09:12,,01/03/2016 02:14:15,01/03/2016 03:14:49,Building fire
01/03/2016 02:08:08,01/03/2016 02:09:12,01/03/2016 02:10:27,01/03/2016 02:14:15,01/03/2016 02:48:57,Building fire
01/03/2016 02:08:08,01/03/2016 02:09:12,01/03/2016 02:10:19,01/03/2016 02:14:15,01/03/2016 02:43:02,Building fire
01/03/2016 02:08:08,01/03/2016 02:09:12,01/03/2016 02:13:09,01/03/2016 02:14:15,01/03/2016 03:31:42,Building fire
01/03/2016 02:08:08,01/03/2016 02:09:12,01/03/2016 02:10:44,01/03/2016 02:14:15,01/03/2016 02:37:30,Building fire
01/03/2016 02:08:08,01/03/2016 02:51:06,01/03/2016 02:51:13,01/03/2016 02:14:15,01/03/2016 03:32:17,Building fire
01/03/2016 08:08:10,01/03/2016 08:09:06,01/03/2016 08:09:39,01/03/2016 08:10:38,01/03/2016 08:23:47,"EMS call, excluding vehicle acci"
01/03/2016 11:00:57,01/03/2016 11:03:13,01/03/2016 11:03:53,01/03/2016 11:06:57,01/03/2016 11:19:44,"EMS call, excluding vehicle acci"
01/03/2016 11:11:29,01/03/2016 11:12:23,01/03/2016 11:12:54,01/03/2016 11:15:21,01/03/2016 11:26:03,"EMS call, excluding vehicle acci"
01/03/2016 11:32:36,01/03/2016 11:33:28,01/03/2016 11:34:07,01/03/2016 11:36:54,01/03/2016 11:42:09,EMS Cancelled on Arrival
01/03/2016 11:38:42,01/03/2016 11:39:50,01/03/2016 11:40:37,01/03/2016 11:43:48,01/03/2016 11:51:06,"EMS call, excluding vehicle acci"
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:18:26,01/03/2016 12:21:45,01/03/2016 12:23:38,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:18:35,01/03/2016 12:21:45,01/03/2016 12:23:35,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:19:41,01/03/2016 12:19:44,01/03/2016 12:21:45,01/03/2016 12:21:34,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:17:56,01/03/2016 12:21:45,01/03/2016 12:23:36,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:18:45,01/03/2016 12:21:45,01/03/2016 12:23:32,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:17:56,01/03/2016 12:21:45,01/03/2016 12:26:38,HazMat release investigation w/n
01/03/2016 12:16:15,01/03/2016 12:17:02,01/03/2016 12:18:00,01/03/2016 12:21:45,01/03/2016 12:23:30,HazMat release investigation w/n
01/03/2016 12:26:01,01/03/2016 12:27:05,01/03/2016 12:27:12,01/03/2016 12:32:30,01/03/2016 12:50:19,"Medical assist, assist EMS crew"
01/03/2016 12:44:48,01/03/2016 12:45:49,01/03/2016 12:46:36,01/03/2016 12:49:35,01/03/2016 13:11:23,"EMS call, excluding vehicle acci"
01/03/2016 13:22:36,01/03/2016 13:25:10,01/03/2016 13:25:53,01/03/2016 13:28:27,01/03/2016 13:31:06,EMS Cancelled on Arrival
01/03/2016 15:23:21,01/03/2016 15:24:09,01/03/2016 15:24:37,,01/03/2016 15:27:06,Emergency Medical cancelled en r
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:51:46,01/03/2016 16:55:24,01/03/2016 16:57:02,Smoke or odor removal
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:51:59,01/03/2016 16:55:24,01/03/2016 16:57:07,Smoke or odor removal
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:51:30,01/03/2016 16:55:24,01/03/2016 16:57:04,Smoke or odor removal
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:52:08,01/03/2016 16:55:24,01/03/2016 16:57:06,Smoke or odor removal
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:51:59,01/03/2016 16:55:24,01/03/2016 17:06:11,Smoke or odor removal
01/03/2016 16:49:25,01/03/2016 16:50:59,01/03/2016 16:52:04,01/03/2016 16:55:24,01/03/2016 16:57:00,Smoke or odor removal
01/03/2016 19:11:33,01/03/2016 19:13:08,01/03/2016 19:13:53,01/03/2016 19:15:56,01/03/2016 19:18:14,"EMS call, excluding vehicle acci"
01/03/2016 19:20:10,01/03/2016 19:25:54,01/03/2016 19:26:38,01/03/2016 19:28:39,01/03/2016 19:32:16,Police matter
01/03/2016 20:10:09,01/03/2016 20:11:01,01/03/2016 20:11:52,01/03/2016 20:13:41,01/03/2016 20:26:14,"EMS call, excluding vehicle acci"
01/03/2016 21:35:07,01/03/2016 21:36:35,01/03/2016 21:37:22,01/03/2016 21:40:36,01/03/2016 21:47:23,"EMS call, excluding vehicle acci"
01/03/2016 21:41:53,01/03/2016 21:43:13,01/03/2016 21:44:12,01/03/2016 21:51:49,01/03/2016 21:53:51,No incident found on arrival at
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:32,01/03/2016 23:41:21,01/04/2016 00:30:33,Alarm system sounded due to malf
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:48,01/03/2016 23:41:21,01/04/2016 00:22:41,Alarm system sounded due to malf
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:22,01/03/2016 23:41:21,01/04/2016 00:07:38,Alarm system sounded due to malf
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:16,01/03/2016 23:41:21,01/04/2016 00:07:17,Alarm system sounded due to malf
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:18,01/03/2016 23:41:21,01/04/2016 00:07:13,Alarm system sounded due to malf
01/03/2016 23:37:37,01/03/2016 23:38:21,01/03/2016 23:39:17,01/03/2016 23:41:21,01/04/2016 00:27:43,Alarm system sounded due to malf
01/04/2016 00:16:20,01/04/2016 00:18:31,01/04/2016 00:19:35,01/04/2016 00:26:47,01/04/2016 00:27:20,EMS Cancelled on Arrival
01/04/2016 06:43:33,01/04/2016 06:45:30,01/04/2016 06:46:36,01/04/2016 06:50:11,01/04/2016 07:20:02,"Medical assist, assist EMS crew"
01/04/2016 07:47:54,01/04/2016 07:48:20,01/04/2016 07:49:33,01/04/2016 07:51:09,01/04/2016 08:04:04,"Smoke detector activation, no fi"
01/04/2016 07:47:54,01/04/2016 07:48:20,,01/04/2016 07:51:09,01/04/2016 07:54:13,"Smoke detector activation, no fi"
01/04/2016 07:47:54,01/04/2016 07:48:20,01/04/2016 07:49:13,01/04/2016 07:51:09,01/04/2016 07:53:24,"Smoke detector activation, no fi"
01/04/2016 07:47:54,01/04/2016 07:48:20,01/04/2016 07:49:45,01/04/2016 07:51:09,01/04/2016 07:53:33,"Smoke detector activation, no fi"
01/04/2016 07:47:54,01/04/2016 07:48:20,01/04/2016 07:49:26,01/04/2016 07:51:09,01/04/2016 08:01:56,"Smoke detector activation, no fi"
01/04/2016 07:47:54,01/04/2016 07:48:20,01/04/2016 07:49:26,01/04/2016 07:51:09,01/04/2016 07:53:57,"Smoke detector activation, no fi"
01/04/2016 10:40:18,01/04/2016 10:48:00,01/04/2016 10:48:28,,01/04/2016 10:52:37,Emergency Medical cancelled en r
01/04/2016 10:42:54,01/04/2016 10:43:23,01/04/2016 10:44:07,01/04/2016 10:47:30,01/04/2016 10:49:46,"EMS call, excluding vehicle acci"
01/04/2016 10:48:26,01/04/2016 10:49:01,01/04/2016 10:50:00,01/04/2016 10:54:06,01/04/2016 11:00:53,Assist invalid
01/04/2016 11:30:20,01/04/2016 11:31:19,01/04/2016 11:32:06,01/04/2016 11:35:49,01/04/2016 11:54:45,"Medical assist, assist EMS crew"
01/04/2016 11:37:51,01/04/2016 11:38:44,01/04/2016 11:41:11,01/04/2016 11:42:49,01/04/2016 11:44:32,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:38:44,01/04/2016 11:39:39,01/04/2016 11:42:49,01/04/2016 11:47:22,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:40:54,01/04/2016 11:40:58,01/04/2016 11:42:49,01/04/2016 11:44:25,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:38:44,01/04/2016 11:39:50,01/04/2016 11:42:49,01/04/2016 11:44:25,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:38:44,,01/04/2016 11:42:49,01/04/2016 11:40:59,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:38:44,01/04/2016 11:40:49,01/04/2016 11:42:49,01/04/2016 11:56:11,"Smoke detector activation, no fi"
01/04/2016 11:37:51,01/04/2016 11:38:44,01/04/2016 11:40:17,01/04/2016 11:42:49,01/04/2016 11:44:40,"Smoke detector activation, no fi"
01/04/2016 11:38:41,01/04/2016 11:41:25,01/04/2016 11:41:56,01/04/2016 11:48:01,01/04/2016 11:44:58,EMS Cancelled on Arrival
01/04/2016 11:38:41,01/04/2016 11:44:53,01/04/2016 11:44:54,01/04/2016 11:48:01,01/04/2016 11:48:29,EMS Cancelled on Arrival
01/04/2016 12:13:15,01/04/2016 12:14:06,01/04/2016 12:14:45,01/04/2016 12:20:57,01/04/2016 12:29:36,"Medical assist, assist EMS crew"
01/04/2016 12:14:19,01/04/2016 12:15:40,01/04/2016 12:16:30,01/04/2016 12:20:23,01/04/2016 12:34:27,"EMS call, excluding vehicle acci"
01/04/2016 13:42:07,01/04/2016 13:45:07,01/04/2016 13:45:48,01/04/2016 13:46:58,01/04/2016 14:09:41,"Vehicle accident, general cleanu"
